date,open,high,low,close,volume,count
1588204800,0.213,0.213,0.213,0.213,1000.0,1
1588291200,0.21299,0.21299,0.17057,0.17681,50463.08620281,33
1588377600,0.17628,0.18468,0.17254,0.18468,27405.14668603,30
1588464000,0.18499,0.18656,0.171,0.17728,70738.08451787,30
1588550400,0.17452,0.17744,0.16981,0.17712,26495.92515183,114
1588636800,0.17366,0.17717,0.1715,0.17387,22805.67746224,40
1588723200,0.17536,0.18061,0.17191,0.17191,30237.96693802,41
1588809600,0.1728,0.17971,0.1728,0.17597,32503.34904131,54
1588896000,0.17496,0.17932,0.17311,0.1786,37375.55833359,51
1588982400,0.1785,0.1816,0.17501,0.17501,35393.91369569,47
1589068800,0.17191,0.17191,0.15437,0.16063,116099.77799432,72
1589155200,0.16225,0.16225,0.15344,0.156,44369.11605608,57
1589241600,0.15911,0.16327,0.15801,0.16024,34181.48807325,27
1589328000,0.16319,0.16765,0.15961,0.16696,83655.82927797,44
1589414400,0.165,0.17053,0.1635,0.16792,79460.58739335,51
1589500800,0.16643,0.16731,0.163,0.16361,44004.77174742,32
1589587200,0.16324,0.1993,0.16324,0.16529,57954.14488383,44
1589673600,0.16772,0.16902,0.1653,0.16604,29451.29083409,29
1589760000,0.17056,0.17056,0.16619,0.16877,28435.50058791,25
1589846400,0.166,0.16951,0.16389,0.16814,41680.42948024,38
1589932800,0.16798,0.16942,0.1582,0.1582,125290.57357092,66
1590019200,0.16678,0.16678,0.15658,0.15986,69787.8007257,51
1590105600,0.15788,0.1758,0.15788,0.16615,63259.2737703,46
1590192000,0.16662,0.16662,0.16205,0.1634,28863.71537395,30
1590278400,0.16618,0.16618,0.15918,0.16009,36472.01164609,27
1590364800,0.15856,0.16154,0.15804,0.16154,45068.55512999,33
1590451200,0.15958,0.1603,0.15592,0.15842,17141.49743316,27
1590537600,0.15865,0.16835,0.15865,0.16012,92870.88014678,35
1590624000,0.16049,0.16441,0.15969,0.16441,33145.10307695,41
1590710400,0.16225,0.1678,0.15904,0.16062,126807.01079303,37
1590796800,0.16371,0.16786,0.16276,0.16786,33480.678375,28
1590883200,0.16882,0.17351,0.165,0.165,22402.83846703,28
1590969600,0.16417,0.17249,0.16417,0.16977,64871.43054674,20
1591056000,0.17004,0.17156,0.15815,0.16034,115034.19242411,104
1591142400,0.16244,0.16369,0.16,0.16261,79626.18869693,49
1591228800,0.16445,0.16533,0.1611,0.16311,35320.36218492,29
1591315200,0.16158,0.16313,0.15915,0.16189,49376.74653097,27
1591401600,0.16,0.16742,0.15951,0.16217,72233.57608605,29
1591488000,0.15943,0.16222,0.15861,0.15938,20454.77089129,31
1591574400,0.15916,0.16142,0.15814,0.16024,41558.27252699,43
1591660800,0.1595,0.16289,0.1572,0.16147,114452.3879218,64
1591747200,0.15922,0.16316,0.15655,0.1599,169205.30302397,73
1591833600,0.1603,0.16213,0.10695,0.14921,94706.94837151,195
1591920000,0.15445,0.15528,0.15345,0.15401,11681.99910654,20
1592006400,0.154,0.15473,0.15331,0.15464,5366.35306033,8
1592092800,0.15408,0.15424,0.151,0.15295,36314.40544871,19
1592179200,0.15161,0.15332,0.14666,0.15332,55052.85573673,66
1592265600,0.15238,0.15292,0.15121,0.15121,37385.40398944,16
1592352000,0.15466,0.15858,0.151,0.1541,25531.43458841,30
1592438400,0.15414,0.15522,0.15064,0.15338,52787.0114605,54
1592524800,0.15307,0.15307,0.151,0.152,8432.04183124,29
1592611200,0.1531,0.1531,0.15039,0.15272,17756.87467256,19
1592697600,0.1527,0.15526,0.15054,0.151,82783.37468401,51
1592784000,0.15207,0.15531,0.151,0.15331,71429.89430162,35
1592870400,0.15104,0.15299,0.15,0.152,30440.61366156,37
1592956800,0.152,0.15282,0.14516,0.14804,158305.7046184,70
