,aclass,amount,asset,balance,fee,refid,time,type,subtype
43,currency,11.1100,ZGBP,251.0178,0.1100,TSBRPL4-HPLUT-L6WOJ3,2024-07-24 10:36:23.596231937,receive,
44,currency,-23.43895000,XXRP,395.64784202,0.00000000,TSBRPL4-HPLUT-L6WOJ3,2024-07-24 10:36:23.596231937,spend,
45,currency,39.8200,ZGBP,240.0178,0.5900,TSUVGY5-GNHXE-NZRZOC,2024-07-17 04:55:50.253813028,receive,
46,currency,-84.62584000,XXRP,419.08679202,0.00000000,TSUVGY5-GNHXE-NZRZOC,2024-07-17 04:55:50.253813028,spend,
47,currency,31.3100,ZGBP,200.7878,0.3100,TSF5CZY-TC3CK-N7FQ2T,2024-07-14 10:35:12.128496885,receive,
48,currency,-78.50117000,XXRP,503.71263202,0.00000000,TSF5CZY-TC3CK-N7FQ2T,2024-07-14 10:35:12.128496885,spend,
49,currency,93.66661000,XXRP,582.21380202,0.00000000,TSJA5ED-QGRJC-VGZSXG,2024-07-05 02:57:29.259892941,receive,
50,currency,-30.5400,ZGBP,169.7878,0.4600,TSJA5ED-QGRJC-VGZSXG,2024-07-05 02:57:29.259892941,spend,
51,currency,150.04382000,XXRP,488.54719202,0.00000000,TSXJUZ5-OKBMF-SDL67P,2024-07-04 13:07:17.208864927,receive,
52,currency,-52.2200,ZGBP,200.7878,0.7800,TSXJUZ5-OKBMF-SDL67P,2024-07-04 13:07:17.208864927,spend,
53,currency,48.5300,ZGBP,253.7878,0.7200,TSEPJMY-QXHTL-C3HBFA,2024-04-21 06:26:48.863015890,receive,
54,currency,-112.83445000,XXRP,338.50337202,0.00000000,TSEPJMY-QXHTL-C3HBFA,2024-04-21 06:26:48.863015890,spend,
55,currency,174.07690000,XXRP,451.33782202,0.00000000,TSOTW3A-4KVY5-A4GFPD,2024-04-13 20:08:58.662710905,receive,
56,currency,-64.0400,ZGBP,205.9778,0.9600,TSOTW3A-4KVY5-A4GFPD,2024-04-13 20:08:58.662710905,spend,
57,currency,77.89340000,XXRP,277.26092202,0.00000000,TSJQKVO-D4RZW-6TRR2T,2024-04-13 20:07:47.178792953,receive,
58,currency,-29.5600,ZGBP,270.9778,0.4400,TSJQKVO-D4RZW-6TRR2T,2024-04-13 20:07:47.178792953,spend,
59,currency,73.0800,ZGBP,300.9778,1.0800,TSKBGEK-J5BYN-LGKB57,2024-03-05 11:50:47.147366047,receive,
60,currency,-145.25183000,XXRP,199.36752202,0.00000000,TSKBGEK-J5BYN-LGKB57,2024-03-05 11:50:47.147366047,spend,
61,currency,97.1600,ZGBP,228.9778,1.4400,TSEVWLZ-D7JKX-KACUGZ,2023-11-06 12:59:22.833393097,receive,
62,currency,-168.82073000,XXRP,344.61935202,0.00000000,TSEVWLZ-D7JKX-KACUGZ,2023-11-06 12:59:22.833393097,spend,
63,currency,338.44008000,XXRP,513.44008202,0.00000000,TSAW2IF-6PUKV-JSIOUW,2023-08-19 13:19:24.449132919,receive,
64,currency,-134.9800,ZGBP,133.2578,2.0200,TSAW2IF-6PUKV-JSIOUW,2023-08-19 13:19:24.449126959,spend,
65,currency,106.1100,ZGBP,270.2578,1.5700,TSF23XS-RYNI5-YTQ4GD,2023-07-14 11:41:31.806859016,receive,
66,currency,-175.00000000,XXRP,175.00000202,0.00000000,TSF23XS-RYNI5-YTQ4GD,2023-07-14 11:41:31.806847095,spend,
67,currency,139.7400,ZGBP,165.7178,2.0700,TSNZINZ-FS4IA-ADW55C,2023-06-22 06:47:07.390633106,receive,
68,currency,-350.00000000,XXRP,350.00000202,0.00000000,TSNZINZ-FS4IA-ADW55C,2023-06-22 06:47:07.390626907,spend,
