,date,close,balance_gbp,type,balance_xrp,total_gbp,buy_and_hold,returns,market_returns
25,2023-02-11,0.31812,0.6816,hold,668.45817937,213.33151602118443,201.98095238095237,0.0020408825837709976,0.0020474375531547295
26,2023-02-12,0.31109,0.6816,hold,668.45817937,208.6322550202133,197.5174603174603,-0.022027973590664773,-0.022098579152521114
27,2023-02-13,0.30551,0.6816,hold,668.45817937,204.9022583793287,193.97460317460317,-0.017878331615229892,-0.01793693143463293
28,2023-02-14,0.3138,0.6816,hold,668.45817937,210.44377668630602,199.23809523809524,0.02704469121427877,0.02713495466596849
29,2023-02-15,0.33334,0.6816,hold,668.45817937,223.50544951119582,211.64444444444447,0.06206728006198037,0.062268961121733746
30,2023-02-16,0.32062,0.6816,hold,668.45817937,215.00266146960942,203.568253968254,-0.03804286678549407,-0.038159236815263675
31,2023-02-17,0.32819,0.6816,hold,668.45817937,220.0628898874403,208.37460317460315,0.02353565478326014,0.023610504647245678
32,2023-02-18,0.3275,0.6816,hold,668.45817937,219.60165374367503,207.93650793650792,-0.002095928777456235,-0.0021024406593741496
33,2023-02-19,0.32058,0.6816,hold,668.45817937,214.9759231424346,203.54285714285714,-0.02106418837191326,-0.021129770992366348
34,2023-02-20,0.33076,0.6816,hold,668.45817937,221.7808274084212,210.0063492063492,0.03165426233093993,0.03175494416370328
35,2023-02-21,0.32382,0.6816,hold,668.45817937,217.1417276435934,205.6,-0.020917496877602693,-0.020981980892490038
36,2023-02-22,0.32807,0.6816,hold,668.45817937,219.9826749059159,208.29841269841268,0.013083377815734654,0.013124575381384673
37,2023-02-23,0.32301,0.6816,hold,668.45817937,216.60027651830373,205.0857142857143,-0.015375748972316972,-0.015423537659645659
38,2023-02-24,0.31686,0.6816,hold,668.45817937,212.4892587151782,201.18095238095236,-0.018979744020678146,-0.019039658214916044
39,2023-02-25,0.31684,0.6816,hold,668.45817937,212.47588955159083,201.16825396825396,-6.291689127357891e-05,-6.311935870728647e-05
40,2023-02-26,0.31582,0.6816,hold,668.45817937,211.79406220863342,200.52063492063493,-0.003208963352954175,-0.0032192904936244604
41,2023-02-27,0.31407,0.6816,hold,668.45817937,210.62426039473593,199.40952380952382,-0.005523298442357438,-0.005541131024001
42,2023-02-28,0.3131,0.6816,hold,668.45817937,209.975855960747,198.79365079365078,-0.0030784888349221218,-0.003088483459101621
43,2023-03-01,0.31878,0.6816,hold,668.45817937,213.77269841956863,202.4,0.018082281133938727,0.018141168955605247
44,2023-03-02,0.31614,0.6816,hold,668.45817937,212.0079688260318,200.7238095238095,-0.008255168253867518,-0.008281573498964967
45,2023-03-03,0.31422,0.6816,hold,668.45817937,210.7245291216414,199.50476190476192,-0.00605373331718273,-0.006073258682861904
46,2023-03-04,0.31001,0.6816,hold,668.45817937,207.91032018649372,196.83174603174604,-0.01335491860809035,-0.0133982559989817
47,2023-03-05,0.30476,0.6816,hold,668.45817937,204.40091474480118,193.4984126984127,-0.016879419157955322,-0.016934937582658627
48,2023-03-06,0.30762,0.6816,hold,668.45817937,206.3127051377994,195.31428571428572,0.009353140104021218,0.009384433652710467
49,2023-03-07,0.32153,0.6816,hold,668.45817937,215.6109584128361,204.14603174603172,0.04506873810232026,0.04521812625967092
50,2023-03-08,0.32804,0.6816,hold,668.45817937,219.9626211605348,208.27936507936508,0.02018293865827747,0.02024694429757723
51,2023-03-09,0.31087,0.6816,hold,668.45817937,208.4851942207519,197.37777777777777,-0.05217898786269859,-0.052341177905133596
52,2023-03-10,0.30815,0.6816,hold,668.45817937,206.6669879728655,195.65079365079364,-0.00872103294760207,-0.008749638112394265
53,2023-03-11,0.30264,0.6816,hold,668.45817937,202.98378340453684,192.15238095238098,-0.01782192988080067,-0.017880902158039724
54,2023-03-12,0.30814,0.6816,hold,668.45817937,206.66030339107184,195.64444444444447,0.01811238279664873,0.018173407348665016
55,2023-03-13,0.30325,0.6816,hold,668.45817937,203.39154289395253,192.53968253968256,-0.015817070058847693,-0.01586941000843778
56,2023-03-14,0.30671,0.6816,hold,668.45817937,205.7044081945727,194.73650793650793,0.011371491988858562,0.011409727947238046
57,2023-03-15,0.29841,0.6816,hold,668.45817937,200.15620530580173,189.46666666666667,-0.026971725776158362,-0.0270613934987447
58,2023-03-16,0.30197,0.6816,hold,668.45817937,202.53591642435893,191.72698412698415,0.011889269757694665,0.011929895110753819
59,2023-03-17,0.31229,0.6816,hold,668.45817937,209.43440483545731,198.2793650793651,0.03406056828283477,0.03417558035566448
60,2023-03-18,0.30656,0.6816,hold,668.45817937,205.6041394676672,194.64126984126983,-0.018288615811711373,-0.018348330077812447
61,2023-03-19,0.31822,0.6816,hold,668.45817937,213.3983618391214,202.04444444444445,0.03790887864239667,0.038034968684760084
62,2023-03-20,0.30501,0.6816,hold,668.45817937,204.5680292896437,193.65714285714287,-0.041379570458627946,-0.04151216139777503
63,2023-03-21,0.38433,0.6816,hold,668.45817937,257.59013207727213,244.01904761904763,0.2591905635095868,0.2600570473099242
64,2023-03-22,0.34369,0.6816,hold,668.45817937,230.42399166767532,218.215873015873,-0.10546265957675538,-0.10574246090599237
65,2023-03-23,0.36259,0.6816,hold,668.45817937,243.05785125776833,230.21587301587303,0.05482875068110937,0.05499141668363938
66,2023-03-24,0.34875,0.6816,hold,668.45817937,233.80639005528752,221.42857142857142,-0.038062795151881046,-0.03816983369646165
67,2023-03-25,0.36342,0.6816,hold,668.45817937,243.61267154664543,230.74285714285713,0.04194188828217671,0.04206451612903228
68,2023-03-26,0.36651,0.6816,hold,668.45817937,245.6782073208987,232.70476190476194,0.008478769848627499,0.00850255902261865
69,2023-03-27,0.39108,200.0378,sell,159.73355202,262.5063975239816,248.30476190476188,0.06849687803648918,0.06703773430465709
70,2023-03-28,0.41746,200.0378,hold,159.73355202,266.7201686262692,265.05396825396826,0.0160520701287008,0.06745422931369549
71,2023-03-29,0.44083,215.0378,sell,126.91185202,270.9843517259766,279.89206349206347,0.015987479018440443,0.05598141139270818
72,2023-03-30,0.42998,215.0378,hold,126.91185202,269.6073581315596,273.0031746031746,-0.005081450591691183,-0.024612662477598968
73,2023-03-31,0.43626,215.0378,hold,126.91185202,270.4043645622452,276.99047619047616,0.002956174624494823,0.0146053304804874
74,2023-04-01,0.41332,215.0378,hold,126.91185202,267.4930066769064,262.42539682539683,-0.010766682298386399,-0.05258332187227788
75,2023-04-02,0.42146,215.0378,hold,126.91185202,268.5260691523492,267.5936507936508,0.0038620167617711143,0.019694183683344635
76,2023-04-03,0.39959,215.0378,hold,126.91185202,265.7505069486718,253.70793650793652,-0.010336285830418457,-0.051891045413562376
77,2023-04-04,0.4021,215.0378,hold,126.91185202,266.069055697242,255.30158730158732,0.0011986759770574729,0.006281438474436296
78,2023-04-05,0.40565,215.0378,hold,126.91185202,266.519592771913,257.55555555555554,0.0016933088047024203,0.008828649589654125
79,2023-04-06,0.40497,215.0378,hold,126.91185202,266.4332927125394,257.12380952380954,-0.0003238038092284734,-0.0016763219524219553
80,2023-04-07,0.41333,215.0378,hold,126.91185202,267.4942757954266,262.431746031746,0.003982171567544546,0.020643504457120043
81,2023-04-08,0.40691,215.0378,hold,126.91185202,266.6795017054582,258.35555555555555,-0.0030459496284379606,-0.015532383325671861
82,2023-04-09,0.40645,215.0378,hold,126.91185202,266.621122253529,258.06349206349205,-0.00021891240817495383,-0.0011304711115480703
83,2023-04-10,0.4182,215.0378,hold,126.91185202,268.112336514764,265.5238095238095,0.00559300871825541,0.028908844876368578
84,2023-04-11,0.41624,215.0378,hold,126.91185202,267.8635892848048,264.2793650793651,-0.0009277724150732469,-0.004686752749880285
85,2023-04-12,0.40425,215.0378,hold,126.91185202,266.341916179085,256.66666666666663,-0.0056807762106924065,-0.028805496828752886
86,2023-04-13,0.41027,215.0378,hold,126.91185202,267.1059255282454,260.4888888888889,0.0028685283943317152,0.014891774891774956
87,2023-04-14,0.42188,215.0378,hold,126.91185202,268.5793721301976,267.86031746031745,0.005516338130792997,0.0282984376142541
88,2023-04-15,0.41944,215.0378,hold,126.91185202,268.2697072112688,266.3111111111111,-0.001152973575270444,-0.005783635156916711
89,2023-04-16,0.4197,215.0378,hold,126.91185202,268.30270429279403,266.4761904761905,0.0001229996553404611,0.0006198741178715661
90,2023-04-17,0.41221,215.0378,hold,126.91185202,267.3521345211642,261.72063492063495,-0.003542900449458375,-0.017846080533714503
91,2023-04-18,0.4276,215.0378,hold,126.91185202,269.305307923752,271.4920634920635,0.007305621128052664,0.03733533878362949
92,2023-04-19,0.39551,215.0378,hold,126.91185202,265.2327065924302,251.11746031746029,-0.015122618127062282,-0.07504677268475224
93,2023-04-20,0.38166,215.0378,hold,126.91185202,263.47497744195323,242.3238095238095,-0.006627120663433073,-0.035018077924704794
94,2023-04-21,0.3616,215.0378,hold,126.91185202,260.929125690432,229.58730158730157,-0.009662594058223672,-0.05255987004139806
95,2023-04-22,0.38071,215.0378,hold,126.91185202,263.3544111825342,241.7206349206349,0.009294805574827203,0.052848451327433654
96,2023-04-23,0.3738,215.0378,hold,126.91185202,262.477450285076,237.33333333333334,-0.0033299647175850655,-0.018150298127183273
97,2023-04-24,0.36872,215.0378,hold,126.91185202,261.8327380768144,234.1079365079365,-0.0024562575092121897,-0.013590155163188955
98,2023-04-25,0.3788,215.0378,hold,126.91185202,263.112009545176,240.50793650793653,0.004885834665893984,0.02733781731395113
99,2023-04-26,0.37083,215.0378,hold,126.91185202,262.1005220845766,235.44761904761904,-0.003844322660709887,-0.02104012671594524
100,2023-04-27,0.3738,215.0378,hold,126.91185202,262.477450285076,237.33333333333334,0.0014381054928909176,0.00800906075560226
101,2023-04-28,0.38239,215.0378,hold,126.91185202,263.5676230939278,242.7873015873016,0.004153396063805825,0.022980203317282122
102,2023-04-29,0.38097,215.0378,hold,126.91185202,263.3874082640594,241.88571428571424,-0.0006837517740341248,-0.0037134862313348282
103,2023-04-30,0.37558,215.0378,hold,126.91185202,262.7033533816716,238.46349206349205,-0.0025971434507681135,-0.014148095650576065
104,2023-05-01,0.37273,215.0378,hold,126.91185202,262.3416546034146,236.65396825396826,-0.0013768335028883083,-0.007588263485808544
105,2023-05-02,0.37288,215.0378,hold,126.91185202,262.3606913812176,236.74920634920633,7.25648308947946e-05,0.00040243607973589057
106,2023-05-03,0.36881,215.0378,hold,126.91185202,261.8441601434962,234.16507936507938,-0.0019687828805529106,-0.010915039691053341
107,2023-05-04,0.36643,215.0378,hold,126.91185202,261.5421099356886,232.65396825396826,-0.0011535495297740894,-0.006453187278002259
108,2023-05-05,0.37028,215.0378,hold,126.91185202,262.0307205659656,235.0984126984127,0.0018681910549593894,0.010506781649973984
